Año,Trimestre,Indicador,Categoria,Estado,Valor,Agregacion
2012,2,i331,a,0,0,N
2012,2,i331,a,0,0,N
2012,2,i331,b,0,0,N
2012,2,i331,b,0,0,N
2012,2,i331,c,0,0,N
2012,2,i331,c,0,0,N
2012,2,i331,d,0,0,N
2012,2,i331,d,0,0,N
2012,2,i331,e,0,0,N
2012,2,i331,e,0,0,N
2012,2,i331,f,0,0,N
2012,2,i331,f,0,0,N
2012,2,i331,g,0,0,N
2012,2,i331,g,0,0,N
2012,2,i331,h,0,0,N
2012,2,i331,h,0,0,N
2012,2,i331,i,0,0,N
2012,2,i331,i,0,0,N
2012,2,i33,a,0,0,N
2012,2,i33,b,0,0,N
2012,2,i33,c,0,0,N
2012,2,i33,d,0,0,N
2012,2,i33,e,0,0,N
2012,2,i33,f,0,0,N
2012,2,i33,g,0,0,N
2012,2,i33,h,0,0,N
2012,2,i33,i,0,0,N
2012,3,i331,a,0,0,N
2012,3,i331,a,0,0,N
2012,3,i331,b,0,0,N
2012,3,i331,b,0,0,N
2012,3,i331,c,0,0,N
2012,3,i331,c,0,0,N
2012,3,i331,d,0,0,N
2012,3,i331,d,0,0,N
2012,3,i331,e,0,0,N
2012,3,i331,e,0,0,N
2012,3,i331,f,0,0,N
2012,3,i331,f,0,0,N
2012,3,i331,g,0,0,N
2012,3,i331,g,0,0,N
2012,3,i331,h,0,0,N
2012,3,i331,h,0,0,N
2012,3,i331,i,0,0,N
2012,3,i331,i,0,0,N
2012,3,i33,a,0,0,N
2012,3,i33,b,0,0,N
2012,3,i33,c,0,0,N
2012,3,i33,d,0,0,N
2012,3,i33,e,0,0,N
2012,3,i33,f,0,0,N
2012,3,i33,g,0,0,N
2012,3,i33,h,0,0,N
2012,3,i33,i,0,0,N
2012,4,i331,a,0,0,N
2012,4,i331,a,0,0,N
2012,4,i331,b,0,0,N
2012,4,i331,b,0,0,N
2012,4,i331,c,0,0,N
2012,4,i331,c,0,0,N
2012,4,i331,d,0,0,N
2012,4,i331,d,0,0,N
2012,4,i331,e,0,0,N
2012,4,i331,e,0,0,N
2012,4,i331,f,0,0,N
2012,4,i331,f,0,0,N
2012,4,i331,g,0,0,N
2012,4,i331,g,0,0,N
2012,4,i331,h,0,0,N
2012,4,i331,h,0,0,N
2012,4,i331,i,0,0,N
2012,4,i331,i,0,0,N
2012,4,i33,a,0,0,N
2012,4,i33,b,0,0,N
2012,4,i33,c,0,0,N
2012,4,i33,d,0,0,N
2012,4,i33,e,0,0,N
2012,4,i33,f,0,0,N
2012,4,i33,g,0,0,N
2012,4,i33,h,0,0,N
2012,4,i33,i,0,0,N
2013,1,i331,a,0,0,N
2013,1,i331,a,0,0,N
2013,1,i331,b,0,0,N
2013,1,i331,b,0,0,N
2013,1,i331,c,0,0,N
2013,1,i331,c,0,0,N
2013,1,i331,d,0,0,N
2013,1,i331,d,0,0,N
2013,1,i331,e,0,0,N
2013,1,i331,e,0,0,N
2013,1,i331,f,0,0,N
2013,1,i331,f,0,0,N
2013,1,i331,g,0,0,N
2013,1,i331,g,0,0,N
2013,1,i331,h,0,0,N
2013,1,i331,h,0,0,N
2013,1,i331,i,0,0,N
2013,1,i331,i,0,0,N
2013,1,i33,a,0,0,N
2013,1,i33,b,0,0,N
2013,1,i33,c,0,0,N
2013,1,i33,d,0,0,N
2013,1,i33,e,0,0,N
