Año,Trimestre,Indicador,Categoria,Estado,Valor,Agregacion
2012,2,i45,a,0,0,N
2012,2,i45,b,0,0,N
2012,2,i45,c,0,0,N
2012,2,i45,d,0,0,N
2012,2,i45,e,0,0,N
2012,2,i45,f,0,0,N
2012,2,i45,g,0,0,N
2012,2,i45,h,0,0,N
2012,2,i45,i,0,0,N
2012,2,i45,j,0,0,N
2012,2,i45,k,0,0,N
2012,2,i45,l,0,0,N
2012,2,i45,m,0,0,N
2012,2,i45,n,0,0,N
2012,2,i45,o,0,0,N
2012,2,i45,p,0,0,N
2012,2,i45,q,0,0,N
2012,2,i45,r,0,0,N
2012,2,i45,s,0,0,N
2012,2,i45,t,0,0,N
2012,2,i45,u,0,0,N
2012,2,i45,v,0,0,N
2012,2,i45,w,0,0,N
2012,2,i45,x,0,0,N
2012,2,i45,y,0,0,N
2012,2,i45,z,0,0,N
2012,3,i45,a,0,0,N
2012,3,i45,b,0,0,N
2012,3,i45,c,0,0,N
2012,3,i45,d,0,0,N
2012,3,i45,e,0,0,N
2012,3,i45,f,0,0,N
2012,3,i45,g,0,0,N
2012,3,i45,h,0,0,N
2012,3,i45,i,0,0,N
2012,3,i45,j,0,0,N
2012,3,i45,k,0,0,N
2012,3,i45,l,0,0,N
2012,3,i45,m,0,0,N
2012,3,i45,n,0,0,N
2012,3,i45,o,0,0,N
2012,3,i45,p,0,0,N
2012,3,i45,q,0,0,N
2012,3,i45,r,0,0,N
2012,3,i45,s,0,0,N
2012,3,i45,t,0,0,N
2012,3,i45,u,0,0,N
2012,3,i45,v,0,0,N
2012,3,i45,w,0,0,N
2012,3,i45,x,0,0,N
2012,3,i45,y,0,0,N
2012,3,i45,z,0,0,N
2012,4,i45,a,0,0,N
2012,4,i45,b,0,0,N
2012,4,i45,c,0,0,N
2012,4,i45,d,0,0,N
2012,4,i45,e,0,0,N
2012,4,i45,f,0,0,N
2012,4,i45,g,0,0,N
2012,4,i45,h,0,0,N
2012,4,i45,i,0,0,N
2012,4,i45,j,0,0,N
2012,4,i45,k,0,0,N
2012,4,i45,l,0,0,N
2012,4,i45,m,0,0,N
2012,4,i45,n,0,0,N
2012,4,i45,o,0,0,N
2012,4,i45,p,0,0,N
2012,4,i45,q,0,0,N
2012,4,i45,r,0,0,N
2012,4,i45,s,0,0,N
2012,4,i45,t,0,0,N
2012,4,i45,u,0,0,N
2012,4,i45,v,0,0,N
2012,4,i45,w,0,0,N
2012,4,i45,x,0,0,N
2012,4,i45,y,0,0,N
2012,4,i45,z,0,0,N
2013,1,i45,a,0,0,N
2013,1,i45,b,0,0,N
2013,1,i45,c,0,0,N
2013,1,i45,d,0,0,N
2013,1,i45,e,0,0,N
2013,1,i45,f,0,0,N
2013,1,i45,g,0,0,N
2013,1,i45,h,0,0,N
2013,1,i45,i,0,0,N
2013,1,i45,j,0,0,N
2013,1,i45,k,0,0,N
2013,1,i45,l,0,0,N
2013,1,i45,m,0,0,N
2013,1,i45,n,0,0,N
2013,1,i45,o,0,0,N
2013,1,i45,p,0,0,N
2013,1,i45,q,0,0,N
2013,1,i45,r,0,0,N
2013,1,i45,s,0,0,N
2013,1,i45,t,0,0,N
2013,1,i45,u,0,0,N
2013,1,i45,v,0,0,N
2013,1,i45,w,0,0,N
2013,1,i45,x,0,0,N
2013,1,i45,y,0,0,N
2013,1,i45,z,0,0,N
2013,2,i45,a,0,0,N
2013,2,i45,b,0,0,N
2013,2,i45,c,0,0,N
2013,2,i45,d,0,0,N
2013,2,i45,e,0,0,N
2013,2,i45,f,0,0,N
2013,2,i45,g,0,0,N
2013,2,i45,h,0,0,N
2013,2,i45,i,0,0,N
2013,2,i45,j,0,0,N
2013,2,i45,k,0,0,N
2013,2,i45,l,0,0,N
2013,2,i45,m,0,0,N
2013,2,i45,n,0,0,N
2013,2,i45,o,0,0,N
2013,2,i45,p,0,0,N
2013,2,i45,q,0,0,N
2013,2,i45,r,0,0,N
2013,2,i45,s,0,0,N
2013,2,i45,t,0,0,N
2013,2,i45,u,0,0,N
2013,2,i45,v,0,0,N
2013,2,i45,w,0,0,N
2013,2,i45,x,0,0,N
2013,2,i45,y,0,0,N
2013,2,i45,z,0,0,N
2013,3,i45,a,0,0,N
2013,3,i45,b,0,0,N
2013,3,i45,c,0,0,N
2013,3,i45,d,0,0,N
2013,3,i45,e,0,0,N
2013,3,i45,f,0,0,N
2013,3,i45,g,0,0,N
2013,3,i45,h,0,0,N
2013,3,i45,i,0,0,N
2013,3,i45,j,0,0,N
2013,3,i45,k,0,0,N
2013,3,i45,l,0,0,N
2013,3,i45,m,0,0,N
2013,3,i45,n,0,0,N
2013,3,i45,o,0,0,N
2013,3,i45,p,0,0,N
2013,3,i45,q,0,0,N
2013,3,i45,r,0,0,N
2013,3,i45,s,0,0,N
2013,3,i45,t,0,0,N
2013,3,i45,u,0,0,N
2013,3,i45,v,0,0,N
2013,3,i45,w,0,0,N
2013,3,i45,x,0,0,N
2013,3,i45,y,0,0,N
2013,3,i45,z,0,0,N
2013,4,i45,a,0,0,N
2013,4,i45,b,0,0,N
2013,4,i45,c,0,0,N
2013,4,i45,d,0,0,N
2013,4,i45,e,0,0,N
2013,4,i45,f,0,0,N
2013,4,i45,g,0,0,N
2013,4,i45,h,0,0,N
2013,4,i45,i,0,0,N
2013,4,i45,j,0,0,N
2013,4,i45,k,0,0,N
2013,4,i45,l,0,0,N
2013,4,i45,m,0,0,N
2013,4,i45,n,0,0,N
2013,4,i45,o,0,0,N
2013,4,i45,p,0,0,N
2013,4,i45,q,0,0,N
2013,4,i45,r,0,0,N
2013,4,i45,s,0,0,N
2013,4,i45,t,0,0,N
2013,4,i45,u,0,0,N
2013,4,i45,v,0,0,N
2013,4,i45,w,0,0,N
2013,4,i45,x,0,0,N
2013,4,i45,y,0,0,N
2013,4,i45,z,0,0,N
2014,1,i45,a,0,0,N
2014,1,i45,b,0,0,N
2014,1,i45,c,0,0,N
2014,1,i45,d,0,0,N
2014,1,i45,e,0,0,N
2014,1,i45,f,0,0,N
2014,1,i45,g,0,0,N
2014,1,i45,h,0,0,N
2014,1,i45,i,0,0,N
2014,1,i45,j,0,0,N
2014,1,i45,k,0,0,N
2014,1,i45,l,0,0,N
2014,1,i45,m,0,0,N
2014,1,i45,n,0,0,N
2014,1,i45,o,0,0,N
2014,1,i45,p,0,0,N
2014,1,i45,q,0,0,N
2014,1,i45,r,0,0,N
2014,1,i45,s,0,0,N
2014,1,i45,t,0,0,N
2014,1,i45,u,0,0,N
2014,1,i45,v,0,0,N
2014,1,i45,w,0,0,N
2014,1,i45,x,0,0,N
2014,1,i45,y,0,0,N
2014,1,i45,z,0,0,N
2014,2,i45,a,0,0,N
2014,2,i45,b,0,0,N
2014,2,i45,c,0,0,N
2014,2,i45,d,0,0,N
2014,2,i45,e,0,0,N
2014,2,i45,f,0,0,N
2014,2,i45,g,0,0,N
2014,2,i45,h,0,0,N
2014,2,i45,i,0,0,N
2014,2,i45,j,0,0,N
2014,2,i45,k,0,0,N
2014,2,i45,l,0,0,N
2014,2,i45,m,0,0,N
2014,2,i45,n,0,0,N
2014,2,i45,o,0,0,N
2014,2,i45,p,0,0,N
2014,2,i45,q,0,0,N
2014,2,i45,r,0,0,N
2014,2,i45,s,0,0,N
2014,2,i45,t,0,0,N
2014,2,i45,u,0,0,N
2014,2,i45,v,0,0,N
2014,2,i45,w,0,0,N
2014,2,i45,x,0,0,N
2014,2,i45,y,0,0,N
2014,2,i45,z,0,0,N
2014,3,i45,a,0,0,N
2014,3,i45,b,0,0,N
2014,3,i45,c,0,0,N
2014,3,i45,d,0,0,N
2014,3,i45,e,0,0,N
2014,3,i45,f,0,0,N
2014,3,i45,g,0,0,N
2014,3,i45,h,0,0,N
2014,3,i45,i,0,0,N
2014,3,i45,j,0,0,N
2014,3,i45,k,0,0,N
2014,3,i45,l,0,0,N
2014,3,i45,m,0,0,N
2014,3,i45,n,0,0,N
2014,3,i45,o,0,0,N
2014,3,i45,p,0,0,N
2014,3,i45,q,0,0,N
2014,3,i45,r,0,0,N
2014,3,i45,s,0,0,N
2014,3,i45,t,0,0,N
2014,3,i45,u,0,0,N
2014,3,i45,v,0,0,N
2014,3,i45,w,0,0,N
2014,3,i45,x,0,0,N
2014,3,i45,y,0,0,N
2014,3,i45,z,0,0,N
2014,4,i45,a,0,0.35,N
2014,4,i45,b,0,0.35,N
2014,4,i45,c,0,0,N
2014,4,i45,d,0,0,N
