Año,Trimestre,Indicador,Categoria,Estado,Valor,Agregacion
2012,2,i431,a,0,0,N
2012,2,i431,b,0,0,N
2012,2,i431,c,0,0,N
2012,2,i431,d,0,0,N
2012,2,i431,e,0,0,N
2012,2,i43,a,0,0,N
2012,2,i43,b,0,0,N
2012,2,i43,c,0,0,N
2012,2,i43,d,0,0,N
2012,2,i43,e,0,0,N
2012,3,i431,a,0,0,N
2012,3,i431,b,0,0,N
2012,3,i431,c,0,0,N
2012,3,i431,d,0,0,N
2012,3,i431,e,0,0,N
2012,3,i43,a,0,0,N
2012,3,i43,b,0,0,N
2012,3,i43,c,0,0,N
2012,3,i43,d,0,0,N
2012,3,i43,e,0,0,N
2012,4,i431,a,0,0,N
2012,4,i431,b,0,0,N
2012,4,i431,c,0,0,N
2012,4,i431,d,0,0,N
2012,4,i431,e,0,0,N
2012,4,i43,a,0,0,N
2012,4,i43,b,0,0,N
2012,4,i43,c,0,0,N
2012,4,i43,d,0,0,N
2012,4,i43,e,0,0,N
2013,1,i431,a,0,0,N
2013,1,i431,b,0,0,N
2013,1,i431,c,0,0,N
2013,1,i431,d,0,0,N
2013,1,i431,e,0,0,N
2013,1,i43,a,0,0,N
2013,1,i43,b,0,0,N
2013,1,i43,c,0,0,N
2013,1,i43,d,0,0,N
2013,1,i43,e,0,0,N
2013,2,i431,a,0,0,N
2013,2,i431,b,0,0,N
2013,2,i431,c,0,0,N
2013,2,i431,d,0,0,N
2013,2,i431,e,0,0,N
2013,2,i43,a,0,0,N
2013,2,i43,b,0,0,N
2013,2,i43,c,0,0,N
2013,2,i43,d,0,0,N
2013,2,i43,e,0,0,N
2013,3,i431,a,0,0,N
2013,3,i431,b,0,0,N
2013,3,i431,c,0,0,N
2013,3,i431,d,0,0,N
2013,3,i431,e,0,0,N
2013,3,i43,a,0,0,N
2013,3,i43,b,0,0,N
2013,3,i43,c,0,0,N
2013,3,i43,d,0,0,N
2013,3,i43,e,0,0,N
2013,4,i431,a,0,0,N
2013,4,i431,b,0,0,N
2013,4,i431,c,0,0,N
2013,4,i431,d,0,0,N
2013,4,i431,e,0,0,N
2013,4,i43,a,0,0,N
2013,4,i43,b,0,0,N
2013,4,i43,c,0,0,N
2013,4,i43,d,0,0,N
2013,4,i43,e,0,0,N
2014,1,i431,a,0,0,N
2014,1,i431,b,0,0,N
2014,1,i431,c,0,0,N
2014,1,i431,d,0,0,N
2014,1,i431,e,0,0,N
2014,1,i43,a,0,0,N
2014,1,i43,b,0,0,N
2014,1,i43,c,0,0,N
2014,1,i43,d,0,0,N
2014,1,i43,e,0,0,N
2014,2,i431,a,0,0,N
2014,2,i431,b,0,0,N
2014,2,i431,c,0,0,N
2014,2,i431,d,0,0,N
2014,2,i431,e,0,0,N
2014,2,i43,a,0,0,N
2014,2,i43,b,0,0,N
2014,2,i43,c,0,0,N
2014,2,i43,d,0,0,N
2014,2,i43,e,0,0,N
2014,3,i431,a,0,0,N
2014,3,i431,b,0,0,N
2014,3,i431,c,0,0,N
2014,3,i431,d,0,0,N
2014,3,i431,e,0,0,N
