Año,Trimestre,Indicador,Categoria,Estado,Valor,Agregacion
2012,2,i36,a,0,0,N
2012,2,i36,b,0,0,N
2012,2,i36,c,0,0,N
2012,3,i36,a,0,0,N
2012,3,i36,b,0,0,N
2012,3,i36,c,0,0,N
2012,4,i36,a,0,0,N
2012,4,i36,b,0,0,N
2012,4,i36,c,0,0,N
2013,1,i36,a,0,0,N
2013,1,i36,b,0,0,N
2013,1,i36,c,0,0,N
2013,2,i36,a,0,0,N
2013,2,i36,b,0,0,N
2013,2,i36,c,0,0,N
2013,3,i36,a,0,0,N
2013,3,i36,b,0,0,N
2013,3,i36,c,0,0,N
2013,4,i36,a,0,0,N
2013,4,i36,b,0,0,N
2013,4,i36,c,0,0,N
2014,1,i36,a,0,0,N
2014,1,i36,b,0,0,N
2014,1,i36,c,0,0,N
2014,2,i36,a,0,0,N
2014,2,i36,b,0,0,N
2014,2,i36,c,0,0,N
2014,3,i36,a,0,0,N
2014,3,i36,b,0,0,N
2014,3,i36,c,0,0,N
2014,4,i36,a,0,0,N
2014,4,i36,b,0,0,N
2014,4,i36,c,0,0,N
2015,1,i36,a,0,0,N
2015,1,i36,b,0,0,N
2015,1,i36,c,0,0,N
2015,2,i36,a,0,0,N
2015,2,i36,b,0,0,N
2015,2,i36,c,0,0,N
2015,3,i36,a,0,0,N
2015,3,i36,b,0,0,N
2015,3,i36,c,0,0,N
2015,4,i36,a,0,35,N
2015,4,i36,b,0,18,N
2015,4,i36,c,0,23,N
2016,1,i36,a,0,71,N
2016,1,i36,b,0,26,N
2016,1,i36,c,0,33,N
2016,2,i36,a,0,117,N
2016,2,i36,b,0,46,N
2016,2,i36,c,0,74,N
2016,3,i36,a,0,67,N
2016,3,i36,b,0,34,N
2016,3,i36,c,0,34,N
2016,4,i36,a,0,80,N
2016,4,i36,b,0,49,N
2016,4,i36,c,0,33,N
2017,1,i36,a,0,0,N
2017,1,i36,b,0,0,N
2017,1,i36,c,0,0,N
2017,2,i36,a,0,0,N
2017,2,i36,b,0,0,N
2017,2,i36,c,0,0,N
