Año,Trimestre,Indicador,Categoria,Estado,Valor,Agregacion
2012,2,i351,a,0,0,N
2012,2,i351,a,0,0,N
2012,2,i351,b,0,0,N
2012,2,i351,b,0,0,N
2012,2,i351,c,0,0,N
2012,2,i351,c,0,0,N
2012,3,i351,a,0,0,N
2012,3,i351,a,0,0,N
2012,3,i351,b,0,0,N
2012,3,i351,b,0,0,N
2012,3,i351,c,0,0,N
2012,3,i351,c,0,0,N
2012,4,i351,a,0,0,N
2012,4,i351,a,0,0,N
2012,4,i351,b,0,0,N
2012,4,i351,b,0,0,N
2012,4,i351,c,0,0,N
2012,4,i351,c,0,0,N
2013,1,i351,a,0,0,N
2013,1,i351,a,0,0,N
2013,1,i351,b,0,0,N
2013,1,i351,b,0,0,N
2013,1,i351,c,0,0,N
2013,1,i351,c,0,0,N
2013,2,i351,a,0,0,N
2013,2,i351,a,0,0,N
2013,2,i351,b,0,0,N
2013,2,i351,b,0,0,N
2013,2,i351,c,0,0,N
2013,2,i351,c,0,0,N
2013,3,i351,a,0,0,N
2013,3,i351,a,0,0,N
2013,3,i351,b,0,0,N
2013,3,i351,b,0,0,N
2013,3,i351,c,0,0,N
2013,3,i351,c,0,0,N
2013,4,i351,a,0,0,N
2013,4,i351,a,0,0,N
2013,4,i351,b,0,0,N
2013,4,i351,b,0,0,N
2013,4,i351,c,0,0,N
2013,4,i351,c,0,0,N
2014,1,i351,a,0,0,N
2014,1,i351,a,0,0,N
2014,1,i351,b,0,0,N
2014,1,i351,b,0,0,N
2014,1,i351,c,0,0,N
2014,1,i351,c,0,0,N
2014,2,i351,a,0,0,N
2014,2,i351,a,0,0,N
2014,2,i351,b,0,0,N
2014,2,i351,b,0,0,N
2014,2,i351,c,0,0,N
2014,2,i351,c,0,0,N
2014,3,i351,a,0,0,N
2014,3,i351,a,0,0,N
2014,3,i351,b,0,0,N
2014,3,i351,b,0,0,N
2014,3,i351,c,0,0,N
2014,3,i351,c,0,0,N
2014,4,i351,a,0,0,N
2014,4,i351,a,0,0,N
2014,4,i351,b,0,0,N
2014,4,i351,b,0,0,N
2014,4,i351,c,0,0,N
2014,4,i351,c,0,0,N
2015,1,i351,a,0,0,N
2015,1,i351,a,0,0,N
2015,1,i351,b,0,0,N
2015,1,i351,b,0,0,N
2015,1,i351,c,0,0,N
2015,1,i351,c,0,0,N
2015,2,i351,a,0,0,N
2015,2,i351,a,0,0,N
2015,2,i351,b,0,0,N
2015,2,i351,b,0,0,N
2015,2,i351,c,0,0,N
2015,2,i351,c,0,0,N
2015,3,i351,a,0,0,N
2015,3,i351,a,0,0,N
2015,3,i351,b,0,0,N
2015,3,i351,b,0,0,N
2015,3,i351,c,0,0,N
2015,3,i351,c,0,0,N
2015,4,i351,a,0,35,N
2015,4,i351,a,0,35,N
2015,4,i351,b,0,18,N
2015,4,i351,b,0,18,N
2015,4,i351,c,0,23,N
2015,4,i351,c,0,23,N
2016,1,i351,a,0,106,N
2016,1,i351,a,0,106,N
2016,1,i351,b,0,44,N
2016,1,i351,b,0,44,N
2016,1,i351,c,0,56,N
2016,1,i351,c,0,56,N
2016,2,i351,a,0,223,N
2016,2,i351,a,0,223,N
2016,2,i351,b,0,90,N
2016,2,i351,b,0,90,N
2016,2,i351,c,0,130,N
2016,2,i351,c,0,130,N
2016,3,i351,a,0,290,N
2016,3,i351,a,0,290,N
2016,3,i351,b,0,124,N
2016,3,i351,b,0,124,N
2016,3,i351,c,0,164,N
2016,3,i351,c,0,164,N
2016,4,i351,a,0,370,N
2016,4,i351,a,0,370,N
2016,4,i351,b,0,173,N
2016,4,i351,b,0,173,N
2016,4,i351,c,0,197,N
2016,4,i351,c,0,197,N
2017,1,i351,a,0,370,N
2017,1,i351,a,0,370,N
2017,1,i351,b,0,173,N
2017,1,i351,b,0,173,N
2017,1,i351,c,0,197,N
2017,1,i351,c,0,197,N
2017,2,i351,a,0,370,N
2017,2,i351,a,0,370,N
2017,2,i351,b,0,173,N
2017,2,i351,b,0,173,N
2017,2,i351,c,0,197,N
2017,2,i351,c,0,197,N
