"t","m","id","id2","cve","valor","DesGeo"
2015,1,"i11","a","25",1,"E"
2015,2,"i11","a","25",0,"E"
2015,3,"i11","a","25",1,"E"
2015,4,"i11","a","25",1,"E"
2016,1,"i11","a","25",1,"E"
2016,2,"i11","a","25",1,"E"
2016,3,"i11","a","25",1,"E"
2016,4,"i11","a","25",0,"E"
2012,2,"i11","a","26",0,"E"
2012,3,"i11","a","26",0,"E"
2012,4,"i11","a","26",0,"E"
2013,1,"i11","a","26",0,"E"
2013,2,"i11","a","26",0,"E"
2013,3,"i11","a","26",1,"E"
2013,4,"i11","a","26",0,"E"
2014,1,"i11","a","26",0,"E"
2014,2,"i11","a","26",0,"E"
2014,3,"i11","a","26",1,"E"
2014,4,"i11","a","26",0,"E"
2015,1,"i11","a","26",0,"E"
2015,2,"i11","a","26",0,"E"
2015,3,"i11","a","26",0,"E"
2015,4,"i11","a","26",1,"E"
2016,1,"i11","a","26",1,"E"
2016,2,"i11","a","26",0,"E"
2016,3,"i11","a","26",0,"E"
2016,4,"i11","a","26",0,"E"
2012,2,"i11","a","27",0,"E"
2012,3,"i11","a","27",0,"E"
2012,4,"i11","a","27",0,"E"
2013,1,"i11","a","27",0,"E"
2013,2,"i11","a","27",0,"E"
2013,3,"i11","a","27",0,"E"
2013,4,"i11","a","27",0,"E"
2014,1,"i11","a","27",0,"E"
2014,2,"i11","a","27",0,"E"
2014,3,"i11","a","27",0,"E"
2014,4,"i11","a","27",0,"E"
2015,1,"i11","a","27",0,"E"
2015,2,"i11","a","27",1,"E"
2015,3,"i11","a","27",0,"E"
2015,4,"i11","a","27",1,"E"
2016,1,"i11","a","27",2,"E"
2016,2,"i11","a","27",1,"E"
2016,3,"i11","a","27",0,"E"
2016,4,"i11","a","27",0,"E"
2012,2,"i11","a","28",0,"E"
2012,3,"i11","a","28",0,"E"
2012,4,"i11","a","28",0,"E"
2013,1,"i11","a","28",0,"E"
2013,2,"i11","a","28",0,"E"
2013,3,"i11","a","28",0,"E"
2013,4,"i11","a","28",0,"E"
2014,1,"i11","a","28",0,"E"
2014,2,"i11","a","28",0,"E"
2014,3,"i11","a","28",0,"E"
2014,4,"i11","a","28",0,"E"
2015,1,"i11","a","28",0,"E"
2015,2,"i11","a","28",1,"E"
2015,3,"i11","a","28",0,"E"
2015,4,"i11","a","28",0,"E"
2016,1,"i11","a","28",1,"E"
2016,2,"i11","a","28",0,"E"
2016,3,"i11","a","28",0,"E"
2016,4,"i11","a","28",0,"E"
2012,2,"i11","a","3",0,"E"
2012,3,"i11","a","3",0,"E"
2012,4,"i11","a","3",0,"E"
2013,1,"i11","a","3",0,"E"
2013,2,"i11","a","3",0,"E"
2013,3,"i11","a","3",0,"E"
2013,4,"i11","a","3",0,"E"
2014,1,"i11","a","3",0,"E"
2014,2,"i11","a","3",0,"E"
2014,3,"i11","a","3",0,"E"
2014,4,"i11","a","3",0,"E"
2015,1,"i11","a","3",0,"E"
2015,2,"i11","a","3",0,"E"
2015,3,"i11","a","3",0,"E"
2015,4,"i11","a","3",0,"E"
2016,1,"i11","a","3",1,"E"
2016,2,"i11","a","3",1,"E"
2016,3,"i11","a","3",0,"E"
2016,4,"i11","a","3",0,"E"
2012,2,"i11","a","30",0,"E"
2012,3,"i11","a","30",0,"E"
2012,4,"i11","a","30",0,"E"
2013,1,"i11","a","30",0,"E"
2013,2,"i11","a","30",1,"E"
2013,3,"i11","a","30",0,"E"
2013,4,"i11","a","30",0,"E"
2014,1,"i11","a","30",0,"E"
2014,2,"i11","a","30",0,"E"
2014,3,"i11","a","30",0,"E"
2014,4,"i11","a","30",0,"E"
2015,1,"i11","a","30",0,"E"
2015,2,"i11","a","30",0,"E"
2015,3,"i11","a","30",2,"E"
2015,4,"i11","a","30",3,"E"
2016,1,"i11","a","30",1,"E"
2016,2,"i11","a","30",1,"E"
2016,3,"i11","a","30",1,"E"
2016,4,"i11","a","30",0,"E"
2012,2,"i11","a","31",0,"E"
2012,3,"i11","a","31",0,"E"
2012,4,"i11","a","31",0,"E"
2013,1,"i11","a","31",0,"E"
2013,2,"i11","a","31",0,"E"
2013,3,"i11","a","31",0,"E"
2013,4,"i11","a","31",0,"E"
2014,1,"i11","a","31",0,"E"
2014,2,"i11","a","31",0,"E"
2014,3,"i11","a","31",0,"E"
2014,4,"i11","a","31",0,"E"
2015,1,"i11","a","31",0,"E"
2015,2,"i11","a","31",0,"E"
2015,3,"i11","a","31",1,"E"
2015,4,"i11","a","31",0,"E"
2016,1,"i11","a","31",0,"E"
2016,2,"i11","a","31",1,"E"
2016,3,"i11","a","31",0,"E"
2016,4,"i11","a","31",0,"E"
2012,2,"i11","a","32",0,"E"
2012,3,"i11","a","32",0,"E"
2012,4,"i11","a","32",0,"E"
2013,1,"i11","a","32",0,"E"
2013,2,"i11","a","32",1,"E"
2013,3,"i11","a","32",0,"E"
2013,4,"i11","a","32",0,"E"
2014,1,"i11","a","32",2,"E"
2014,2,"i11","a","32",0,"E"
2014,3,"i11","a","32",0,"E"
2014,4,"i11","a","32",0,"E"
2015,1,"i11","a","32",0,"E"
2015,2,"i11","a","32",1,"E"
2015,3,"i11","a","32",0,"E"
2015,4,"i11","a","32",0,"E"
2016,1,"i11","a","32",0,"E"
2016,2,"i11","a","32",0,"E"
2016,3,"i11","a","32",0,"E"
2016,4,"i11","a","32",0,"E"
2012,2,"i11","a","4",0,"E"
2012,3,"i11","a","4",0,"E"
2012,4,"i11","a","4",0,"E"
2013,1,"i11","a","4",0,"E"
2013,2,"i11","a","4",0,"E"
2013,3,"i11","a","4",0,"E"
2013,4,"i11","a","4",0,"E"
2014,1,"i11","a","4",0,"E"
2014,2,"i11","a","4",0,"E"
2014,3,"i11","a","4",0,"E"
2014,4,"i11","a","4",0,"E"
2015,1,"i11","a","4",0,"E"
2015,2,"i11","a","4",0,"E"
2015,3,"i11","a","4",0,"E"
2015,4,"i11","a","4",0,"E"
2016,1,"i11","a","4",0,"E"
2016,2,"i11","a","4",1,"E"
2016,3,"i11","a","4",0,"E"
2016,4,"i11","a","4",0,"E"
2012,2,"i11","a","5",0,"E"
2012,3,"i11","a","5",0,"E"
2012,4,"i11","a","5",0,"E"
2013,1,"i11","a","5",0,"E"
2013,2,"i11","a","5",0,"E"
2013,3,"i11","a","5",0,"E"
2013,4,"i11","a","5",0,"E"
2014,1,"i11","a","5",0,"E"
2014,2,"i11","a","5",0,"E"
2014,3,"i11","a","5",0,"E"
2014,4,"i11","a","5",0,"E"
2015,1,"i11","a","5",1,"E"
2015,2,"i11","a","5",0,"E"
2015,3,"i11","a","5",0,"E"
2015,4,"i11","a","5",0,"E"
2016,1,"i11","a","5",0,"E"
2016,2,"i11","a","5",1,"E"
2016,3,"i11","a","5",1,"E"
2016,4,"i11","a","5",0,"E"
2012,2,"i11","a","6",0,"E"
2012,3,"i11","a","6",0,"E"
2012,4,"i11","a","6",0,"E"
2013,1,"i11","a","6",0,"E"
2013,2,"i11","a","6",0,"E"
2013,3,"i11","a","6",0,"E"
2013,4,"i11","a","6",0,"E"
2014,1,"i11","a","6",0,"E"
2014,2,"i11","a","6",0,"E"
2014,3,"i11","a","6",0,"E"
2014,4,"i11","a","6",0,"E"
2015,1,"i11","a","6",0,"E"
2015,2,"i11","a","6",1,"E"
2015,3,"i11","a","6",0,"E"
2015,4,"i11","a","6",0,"E"
2016,1,"i11","a","6",0,"E"
2016,2,"i11","a","6",0,"E"
2016,3,"i11","a","6",0,"E"
2016,4,"i11","a","6",0,"E"
2012,2,"i11","a","7",0,"E"
2012,3,"i11","a","7",0,"E"
2012,4,"i11","a","7",0,"E"
2013,1,"i11","a","7",0,"E"
2013,2,"i11","a","7",0,"E"
2013,3,"i11","a","7",0,"E"
2013,4,"i11","a","7",0,"E"
2014,1,"i11","a","7",0,"E"
2014,2,"i11","a","7",0,"E"
2014,3,"i11","a","7",0,"E"
2014,4,"i11","a","7",0,"E"
2015,1,"i11","a","7",0,"E"
2015,2,"i11","a","7",1,"E"
2015,3,"i11","a","7",0,"E"
2015,4,"i11","a","7",1,"E"
2016,1,"i11","a","7",0,"E"
2016,2,"i11","a","7",1,"E"
2016,3,"i11","a","7",0,"E"
2016,4,"i11","a","7",0,"E"
2012,2,"i11","a","8",0,"E"
2012,3,"i11","a","8",0,"E"
2012,4,"i11","a","8",0,"E"
2013,1,"i11","a","8",0,"E"
2013,2,"i11","a","8",0,"E"
2013,3,"i11","a","8",0,"E"
2013,4,"i11","a","8",1,"E"
2014,1,"i11","a","8",0,"E"
2014,2,"i11","a","8",0,"E"
2014,3,"i11","a","8",0,"E"
2014,4,"i11","a","8",0,"E"
2015,1,"i11","a","8",0,"E"
2015,2,"i11","a","8",1,"E"
2015,3,"i11","a","8",0,"E"
2015,4,"i11","a","8",0,"E"
2016,1,"i11","a","8",1,"E"
2016,2,"i11","a","8",0,"E"
2016,3,"i11","a","8",0,"E"
2016,4,"i11","a","8",0,"E"
2012,2,"i11","a","9",0,"E"
2012,3,"i11","a","9",0,"E"
2012,4,"i11","a","9",0,"E"
2013,1,"i11","a","9",1,"E"
2013,2,"i11","a","9",1,"E"
2013,3,"i11","a","9",1,"E"
2013,4,"i11","a","9",1,"E"
2014,1,"i11","a","9",0,"E"
2014,2,"i11","a","9",1,"E"
2014,3,"i11","a","9",1,"E"
2014,4,"i11","a","9",1,"E"
2015,1,"i11","a","9",1,"E"
2015,2,"i11","a","9",3,"E"
2015,3,"i11","a","9",9,"E"
2015,4,"i11","a","9",13,"E"
2016,1,"i11","a","9",13,"E"
2016,2,"i11","a","9",6,"E"
2016,3,"i11","a","9",2,"E"
2016,4,"i11","a","9",0,"E"
2012,2,"i11","b","0",1,"N"
2012,3,"i11","b","0",0,"N"
2012,4,"i11","b","0",1,"N"
2013,1,"i11","b","0",3,"N"
2013,2,"i11","b","0",2,"N"
2013,3,"i11","b","0",0,"N"
2013,4,"i11","b","0",1,"N"
2014,1,"i11","b","0",5,"N"
2014,2,"i11","b","0",3,"N"
2014,3,"i11","b","0",3,"N"
2014,4,"i11","b","0",4,"N"
2015,1,"i11","b","0",6,"N"
2015,2,"i11","b","0",4,"N"
2015,3,"i11","b","0",4,"N"
2015,4,"i11","b","0",6,"N"
2016,1,"i11","b","0",6,"N"
2016,2,"i11","b","0",7,"N"
2016,3,"i11","b","0",2,"N"
2016,4,"i11","b","0",0,"N"
2012,2,"i11","b","10",0,"E"
2012,3,"i11","b","10",0,"E"
2012,4,"i11","b","10",0,"E"
2013,1,"i11","b","10",0,"E"
2013,2,"i11","b","10",0,"E"
2013,3,"i11","b","10",0,"E"
2013,4,"i11","b","10",0,"E"
2014,1,"i11","b","10",0,"E"
2014,2,"i11","b","10",0,"E"
2014,3,"i11","b","10",0,"E"
2014,4,"i11","b","10",0,"E"
2015,1,"i11","b","10",1,"E"
2015,2,"i11","b","10",0,"E"
2015,3,"i11","b","10",0,"E"
2015,4,"i11","b","10",0,"E"
2016,1,"i11","b","10",0,"E"
2016,2,"i11","b","10",0,"E"
2016,3,"i11","b","10",0,"E"
2016,4,"i11","b","10",0,"E"
2012,2,"i11","b","14",0,"E"
2012,3,"i11","b","14",0,"E"
2012,4,"i11","b","14",0,"E"
2013,1,"i11","b","14",0,"E"
2013,2,"i11","b","14",0,"E"
2013,3,"i11","b","14",0,"E"
2013,4,"i11","b","14",0,"E"
2014,1,"i11","b","14",0,"E"
2014,2,"i11","b","14",0,"E"
2014,3,"i11","b","14",0,"E"
2014,4,"i11","b","14",0,"E"
2015,1,"i11","b","14",0,"E"
2015,2,"i11","b","14",1,"E"
2015,3,"i11","b","14",0,"E"
2015,4,"i11","b","14",0,"E"
2016,1,"i11","b","14",0,"E"
2016,2,"i11","b","14",1,"E"
2016,3,"i11","b","14",0,"E"
2016,4,"i11","b","14",0,"E"
2012,2,"i11","b","15",0,"E"
2012,3,"i11","b","15",0,"E"
2012,4,"i11","b","15",0,"E"
2013,1,"i11","b","15",0,"E"
2013,2,"i11","b","15",0,"E"
2013,3,"i11","b","15",0,"E"
2013,4,"i11","b","15",1,"E"
2014,1,"i11","b","15",0,"E"
2014,2,"i11","b","15",0,"E"
2014,3,"i11","b","15",0,"E"
2014,4,"i11","b","15",0,"E"
2015,1,"i11","b","15",1,"E"
2015,2,"i11","b","15",1,"E"
2015,3,"i11","b","15",1,"E"
2015,4,"i11","b","15",0,"E"
2016,1,"i11","b","15",1,"E"
2016,2,"i11","b","15",1,"E"
2016,3,"i11","b","15",0,"E"
2016,4,"i11","b","15",0,"E"
2012,2,"i11","b","17",0,"E"
2012,3,"i11","b","17",0,"E"
2012,4,"i11","b","17",0,"E"
2013,1,"i11","b","17",0,"E"
2013,2,"i11","b","17",0,"E"
2013,3,"i11","b","17",0,"E"
2013,4,"i11","b","17",0,"E"
2014,1,"i11","b","17",0,"E"
2014,2,"i11","b","17",0,"E"
2014,3,"i11","b","17",0,"E"
2014,4,"i11","b","17",0,"E"
2015,1,"i11","b","17",0,"E"
2015,2,"i11","b","17",0,"E"
2015,3,"i11","b","17",0,"E"
2015,4,"i11","b","17",0,"E"
2016,1,"i11","b","17",0,"E"
2016,2,"i11","b","17",0,"E"
2016,3,"i11","b","17",1,"E"
2016,4,"i11","b","17",0,"E"
2012,2,"i11","b","2",0,"E"
2012,3,"i11","b","2",0,"E"
2012,4,"i11","b","2",0,"E"
2013,1,"i11","b","2",0,"E"
2013,2,"i11","b","2",1,"E"
2013,3,"i11","b","2",0,"E"
2013,4,"i11","b","2",0,"E"
2014,1,"i11","b","2",0,"E"
2014,2,"i11","b","2",0,"E"
2014,3,"i11","b","2",0,"E"
2014,4,"i11","b","2",0,"E"
2015,1,"i11","b","2",0,"E"
2015,2,"i11","b","2",0,"E"
2015,3,"i11","b","2",0,"E"
2015,4,"i11","b","2",0,"E"
2016,1,"i11","b","2",0,"E"
2016,2,"i11","b","2",0,"E"
2016,3,"i11","b","2",0,"E"
2016,4,"i11","b","2",0,"E"
2012,2,"i11","b","21",0,"E"
2012,3,"i11","b","21",0,"E"
2012,4,"i11","b","21",0,"E"
2013,1,"i11","b","21",0,"E"
2013,2,"i11","b","21",0,"E"
2013,3,"i11","b","21",0,"E"
2013,4,"i11","b","21",0,"E"
2014,1,"i11","b","21",0,"E"
2014,2,"i11","b","21",0,"E"
2014,3,"i11","b","21",0,"E"
2014,4,"i11","b","21",0,"E"
2015,1,"i11","b","21",0,"E"
2015,2,"i11","b","21",0,"E"
2015,3,"i11","b","21",1,"E"
2015,4,"i11","b","21",1,"E"
2016,1,"i11","b","21",1,"E"
2016,2,"i11","b","21",0,"E"
2016,3,"i11","b","21",0,"E"
2016,4,"i11","b","21",0,"E"
2012,2,"i11","b","25",0,"E"
2012,3,"i11","b","25",0,"E"
2012,4,"i11","b","25",0,"E"
2013,1,"i11","b","25",0,"E"
2013,2,"i11","b","25",0,"E"
2013,3,"i11","b","25",0,"E"
2013,4,"i11","b","25",0,"E"
2014,1,"i11","b","25",0,"E"
2014,2,"i11","b","25",0,"E"
2014,3,"i11","b","25",0,"E"
2014,4,"i11","b","25",0,"E"
2015,1,"i11","b","25",1,"E"
2015,2,"i11","b","25",0,"E"
2015,3,"i11","b","25",0,"E"
2015,4,"i11","b","25",0,"E"
2016,1,"i11","b","25",0,"E"
2016,2,"i11","b","25",0,"E"
2016,3,"i11","b","25",0,"E"
2016,4,"i11","b","25",0,"E"
2012,2,"i11","b","26",0,"E"
2012,3,"i11","b","26",0,"E"
2012,4,"i11","b","26",0,"E"
2013,1,"i11","b","26",0,"E"
2013,2,"i11","b","26",0,"E"
2013,3,"i11","b","26",0,"E"
2013,4,"i11","b","26",0,"E"
2014,1,"i11","b","26",0,"E"
2014,2,"i11","b","26",0,"E"
2014,3,"i11","b","26",0,"E"
2014,4,"i11","b","26",0,"E"
