Año,Trimestre,Indicador,Categoria,Estado,Valor,Agregacion
2012,2,i36,a,0,0,N
2012,2,i36,b,0,0,N
2012,2,i36,c,0,0,N
2012,3,i36,a,0,0,N
2012,3,i36,b,0,0,N
2012,3,i36,c,0,0,N
2012,4,i36,a,0,0,N
2012,4,i36,b,0,0,N
2012,4,i36,c,0,0,N
2013,1,i36,a,0,0,N
2013,1,i36,b,0,0,N
2013,1,i36,c,0,0,N
2013,2,i36,a,0,0,N
2013,2,i36,b,0,0,N
2013,2,i36,c,0,0,N
2013,3,i36,a,0,0,N
2013,3,i36,b,0,0,N
2013,3,i36,c,0,0,N
2013,4,i36,a,0,0,N
2013,4,i36,b,0,0,N
2013,4,i36,c,0,0,N
2014,1,i36,a,0,0,N
2014,1,i36,b,0,0,N
2014,1,i36,c,0,0,N
2014,2,i36,a,0,0,N
2014,2,i36,b,0,0,N
2014,2,i36,c,0,0,N
2014,3,i36,a,0,0,N
2014,3,i36,b,0,0,N
2014,3,i36,c,0,0,N
2014,4,i36,a,0,0,N
2014,4,i36,b,0,0,N
2014,4,i36,c,0,0,N
2015,1,i36,a,0,0,N
2015,1,i36,b,0,0,N
2015,1,i36,c,0,0,N
2015,2,i36,a,0,0,N
2015,2,i36,b,0,0,N
2015,2,i36,c,0,0,N
2015,3,i36,a,0,0,N
2015,3,i36,b,0,0,N
2015,3,i36,c,0,0,N
2015,4,i36,a,0,8.75,N
2015,4,i36,b,0,4.5,N
2015,4,i36,c,0,7.66666666666667,N
2016,1,i36,a,0,23.6666666666667,N
2016,1,i36,b,0,13,N
2016,1,i36,c,0,11,N
2016,2,i36,a,0,39,N
2016,2,i36,b,0,15.3333333333333,N
2016,2,i36,c,0,24.6666666666667,N
2016,3,i36,a,0,33.5,N
2016,3,i36,b,0,17,N
2016,3,i36,c,0,17,N
2016,4,i36,a,0,40,N
2016,4,i36,b,0,24.5,N
2016,4,i36,c,0,16.5,N
2017,1,i36,a,0,0,N
2017,1,i36,b,0,0,N
2017,1,i36,c,0,0,N
2017,2,i36,a,0,0,N
2017,2,i36,b,0,0,N
2017,2,i36,c,0,0,N
2017,3,i36,a,0,0,N
2017,3,i36,b,0,0,N
2017,3,i36,c,0,0,N
