Año,Trimestre,Indicador,Categoria,Estado,Valor,Agregacion
2012,2,i47,a,0,0,N
2012,2,i47,b,0,0,N
2012,2,i47,c,0,0,N
2012,3,i47,a,0,0,N
2012,3,i47,b,0,0,N
2012,3,i47,c,0,0,N
2012,4,i47,a,0,0,N
2012,4,i47,b,0,0,N
2012,4,i47,c,0,0,N
2013,1,i47,a,0,0,N
2013,1,i47,b,0,0,N
2013,1,i47,c,0,0,N
2013,2,i47,a,0,0,N
2013,2,i47,b,0,0,N
2013,2,i47,c,0,0,N
2013,3,i47,a,0,0,N
2013,3,i47,b,0,0,N
2013,3,i47,c,0,0,N
2013,4,i47,a,0,0,N
2013,4,i47,b,0,0,N
2013,4,i47,c,0,0,N
2014,1,i47,a,0,0,N
2014,1,i47,b,0,0,N
2014,1,i47,c,0,0,N
2014,2,i47,a,0,1000,N
2014,2,i47,b,0,1000,N
2014,2,i47,c,0,0,N
2014,3,i47,a,0,57443.45,N
2014,3,i47,b,0,13176.3076923077,N
2014,3,i47,c,0,78757.2592592593,N
2014,4,i47,a,0,18753.621031746,N
2014,4,i47,b,0,3496.66666666667,N
2014,4,i47,c,0,25243.0778032037,N
2015,1,i47,a,0,19675.6645273331,N
2015,1,i47,b,0,3740.27777777778,N
2015,1,i47,c,0,23433.1661706349,N
2015,2,i47,a,0,8312.71144866548,N
2015,2,i47,b,0,7984.65739821251,N
2015,2,i47,c,0,8369.92594317653,N
2015,3,i47,a,0,10809.2258480877,N
2015,3,i47,b,0,10834.1666666666,N
2015,3,i47,c,0,10803.3649706654,N
2015,4,i47,a,0,7924.75120142112,N
2015,4,i47,b,0,7904.57521645022,N
2015,4,i47,c,0,7848.84930115963,N
2016,1,i47,a,0,18353.1795043871,N
2016,1,i47,b,0,27395.4365079365,N
2016,1,i47,c,0,15030.0560527082,N
2016,2,i47,a,0,10663.3274455986,N
2016,2,i47,b,0,9514.57449729469,N
2016,2,i47,c,0,11062.7936255019,N
2016,3,i47,a,0,12154.7802258143,N
2016,3,i47,b,0,9722.82408102023,N
2016,3,i47,c,0,13301.0604060076,N
2016,4,i47,a,0,12026.9029464884,N
2016,4,i47,b,0,12228.2760502688,N
2016,4,i47,c,0,11934.5647260541,N
2017,1,i47,a,0,11984.1676573281,N
2017,1,i47,b,0,12947.0927698033,N
2017,1,i47,c,0,11148.7754986075,N
2017,2,i47,a,0,6938.81836999165,N
2017,2,i47,b,0,6518.34545717314,N
2017,2,i47,c,0,7161.78829464324,N
2017,3,i47,a,0,0,N
2017,3,i47,b,0,0,N
2017,3,i47,c,0,0,N
